[ 613] x=-32767, y=  11776
[ 614] x=-30719, y=  11776
[ 615] x=-30719, y=  32767
[ 616] x=    0, y=  32767
[ 617] x=    0, y=  11776
[ 618] x= 30687, y=  11776
[ 619] x= 30687, y=     0
[ 620] x= 32767, y=     0
[ 621] x= 32767, y= -13784
[ 622] x= 29906, y= -13784
[ 623] x= 29906, y= -32767
[ 624] x=    0, y= -32767
[ 625] x=    0, y= -13784
[ 626] x=-29951, y= -13784
[ 627] x=-29951, y=     0
[ 628] x=-32767, y=     0
[ 629] x=-32767, y=  11776
[ 630] x=-30719, y=  11776
[ 631] x=-30719, y=  32767
[ 632] x=    0, y=  32767
[ 633] x=    0, y=  11776
[ 634] x= 30687, y=  11776
[ 635] x= 30687, y=     0
[ 636] x= 32767, y=     0
[ 637] x= 32767, y= -13784
[ 638] x= 29906, y= -13784
[ 639] x= 29906, y= -32767
[ 640] x=    0, y= -32767
[ 641] x=    0, y= -13784
[ 642] x=-29951, y= -13784
[ 643] x=-29951, y=     0
[ 644] x=-32767, y=     0
[ 645] x=-32767, y=  11776
[ 646] x=-30719, y=  11776
[ 647] x=-30719, y=  32767
[ 648] x=    0, y=  32767
[ 649] x=    0, y=  11776
[ 650] x= 30687, y=  11776
[ 651] x= 30687, y=     0
[ 652] x= 32767, y=     0
[ 653] x= 32767, y= -13784
[ 654] x= 29906, y= -13784
[ 655] x= 29906, y= -32767
[ 656] x=    0, y= -32767
[ 657] x=    0, y= -13784
[ 658] x=-29951, y= -13784
[ 659] x=-29951, y=     0
[ 660] x=-32767, y=     0
[ 661] x=-32767, y=  11776
[ 662] x=-30719, y=  11776
[ 663] x=-30719, y=  32767
[ 664] x=    0, y=  32767
[ 665] x=    0, y=  11776
[ 666] x= 30687, y=  11776
[ 667] x= 30687, y=     0
[ 668] x= 32767, y=     0
[ 669] x= 32767, y= -13784
[ 670] x= 29906, y= -13784
[ 671] x= 29906, y= -32767
[ 672] x=    0, y= -32767
[ 673] x=    0, y= -13784
[ 674] x=-29951, y= -13784
[ 675] x=-29951, y=     0
[ 676] x=-32767, y=     0
[ 677] x=-32767, y=  11776
[ 678] x=-30719, y=  11776
[ 679] x=-30719, y=  32767
[ 680] x=    0, y=  32767
[ 681] x=    0, y=  11776
[ 682] x= 30687, y=  11776
[ 683] x= 30687, y=     0
[ 684] x= 32767, y=     0
[ 685] x= 32767, y= -13784
[ 686] x= 29906, y= -13784
[ 687] x= 29906, y= -32767
[ 688] x=    0, y= -32767
[ 689] x=    0, y= -13784
[ 690] x=-29951, y= -13784
[ 691] x=-29951, y=     0
[ 692] x=-32767, y=     0
[ 693] x=-32767, y=  11776
[ 694] x=-30719, y=  11776
[ 695] x=-30719, y=  32767
[ 696] x=    0, y=  32767
[ 697] x=    0, y=  11776
[ 698] x= 30687, y=  11776
[ 699] x= 30687, y=     0
[ 700] x= 32767, y=     0
[ 701] x= 32767, y= -13784
